Date,close,ret,rf,state,lam,p_bear,raw_state,vm_alarm,p_bear_raw,flip_p,flip_need,flip_req,flip_gap
2022-04-05,139.35533142089844,-0.0166498248976438,2.650793582674057e-05,0.0,,0.03168,0,0.1878063704901933,0.2309278350515464,0.03168,2,2,-0.41219362950980665
2022-04-06,135.34783935546875,-0.0287573645340181,2.6309523317548965e-05,0.0,,0.05977165883143049,0,0.3276166854851532,0.3185840707964602,0.05977165883143049,2,2,-0.27238331451484676
2022-04-07,134.6941375732422,-0.0048297910431338,2.619047723119221e-05,0.0,,0.05977165883143049,0,0.303663496051493,0.2790697674418604,0.05977165883143049,2,2,-0.29633650394850697
2022-04-08,132.1160125732422,-0.019140588049707,2.650793582674057e-05,0.0,,0.05977165883143049,0,0.3232138113181323,0.3185840707964602,0.05977165883143049,2,2,-0.27678618868186766
2022-04-11,127.69123840332033,-0.0334915812530207,2.6984127267958627e-05,0.0,,0.23655913978494625,0,0.5098627928301179,0.3571428571428571,0.23655913978494625,2,2,-0.09013720716988205
2022-04-12,126.59198760986328,-0.0086086626396792,2.9285713320686703e-05,0.0,,0.12238805970149254,0,0.4440977943749522,0.3185840707964602,0.12238805970149254,2,2,-0.15590220562504775
2022-04-13,128.7523193359375,0.0170653116904366,2.936507974352156e-05,0.0,,0.1592356687898089,0,0.4836984832420715,0.3475799123864344,0.1592356687898089,2,2,-0.11630151675792849
2022-04-14,125.61613464355467,-0.0243582772610096,2.96825407043336e-05,0.0,,0.23655913978494625,0,0.5149527896588117,0.7,0.23655913978494625,2,2,-0.08504721034118823
2022-04-18,126.55431365966795,0.0074686187309889,2.996031727109637e-05,0.0,,0.23655913978494625,0,0.5149527896588117,0.7,0.23655913978494625,2,2,-0.08504721034118823
2022-04-19,128.86634826660156,0.0182691094445912,3.3055555725854536e-05,0.0,,0.23655913978494625,0,0.5149527896588117,0.7,0.23655913978494625,2,2,-0.08504721034118823
2022-04-20,126.91461181640624,-0.0151454314989785,3.154761970989288e-05,0.0,,0.23655913978494625,0,0.5119385873200071,0.3571428571428571,0.23655913978494625,2,2,-0.0880614126799929
2022-04-21,123.71747589111328,-0.0251912358989673,3.174603221908449e-05,0.0,,0.12949640287769784,0,0.4701311935470961,0.3185840707964602,0.12949640287769784,2,2,-0.12986880645290388
2022-04-22,118.58399200439452,-0.041493603468251,3.0952379817054386e-05,0.0,,0.9219858156028369,1,0.7087664988522314,1.0,0.9219858156028369,1,2,0.10876649885223144
2022-04-25,121.99226379394533,0.0287414155312337,3.166666579624963e-05,1.0,,0.8681481481481481,1,0.7921120069962224,0.2448979591836735,0.13185185185185186,3,3,-0.19211200699622244
2022-04-26,117.60714721679688,-0.0359458578828839,3.3055555725854536e-05,1.0,,0.8743335872048743,1,0.8247824862700015,0.2448979591836735,0.12566641279512564,3,3,-0.22478248627000152
2022-04-27,113.28993225097656,-0.0367087806140044,3.206349317989652e-05,1.0,,0.9206049149338374,1,0.9363455299046468,0.2702702702702703,0.07939508506616257,3,3,-0.33634552990464683
2022-04-28,117.48077392578124,0.0369921809602684,3.115079469150967e-05,1.0,,0.9206049149338374,1,0.9363455299046468,0.2702702702702703,0.07939508506616257,3,3,-0.33634552990464683
2022-04-29,113.10655975341795,-0.0372334470245038,3.206349317989652e-05,1.0,,0.9636940916620651,1,1.0,0.3151515151515152,0.036305908337934845,3,3,-0.4
2022-05-02,115.55831146240234,0.0216764767165531,3.035714228947957e-05,1.0,,0.9636940916620651,1,1.0,0.3151515151515152,0.036305908337934845,3,3,-0.4
2022-05-03,116.30272674560548,0.0064419017012491,3.551587225898864e-05,1.0,,0.9636940916620651,1,1.0,0.3151515151515152,0.036305908337934845,3,3,-0.4
2022-05-04,121.1864013671875,0.0419910586642076,3.3055555725854536e-05,1.0,,0.9636940916620651,1,1.0,0.3151515151515152,0.036305908337934845,3,3,-0.4
